FSC-A,SSC-A,Alexa_488-A,PI-A
123589,56002.3,3264.7,164.143
217876,114521,14016.1,207.403
262143,138992,8650.65,169.651
8010.64,47494.3,166.457,24.5348
125641,46155,3474.25,10.4363
118883,50407,1493.98,115.817
129914,71769.5,37547.4,237.279
226646,184616,44174.7,5478.55
86555,35262.3,9007.24,21.8087
6277.92,53403.5,246.174,25.3609
83066.7,54373.1,4401.12,91.6405
262143,262143,13842.6,864.885
145867,50210.2,3957.09,129.558
112073,35765,2911.41,92.742
120673,50633.1,7993.49,117.772
14036.9,26183.7,21504.7,213.543
228697,166545,8290.06,543.62
262143,196716,8094.28,413.346
235279,118393,7184.07,138.948
116420,34482.9,973.268,122.619
252110,115004,7258.28,354.446
140283,40275.1,1257.72,164.226
101118,56881.4,3280.25,88.3637
243808,65227.2,1899.72,247.854
115917,57679.4,5475.99,102.572
112241,27219.8,295.326,12.6391
13391,8545.25,2304.64,55.6508
114676,28504.6,2976.53,26.71
153298,41973.5,3895.14,137.323
240730,153886,13378.1,389.748
152086,62390.3,7547.54,-11.2348
262143,262143,93443.7,5474.48
135815,56676.6,5448.32,126.612
45127.3,243244,18407.8,246.367
129282,46961,1735.06,72.4203
262143,262143,12859.8,903.767
262143,250533,22055,429.427
121020,47915.9,2545.17,44.3609
142354,75832.6,2105.01,123.528
9312.16,31422.6,159.572,13.5754
206153,83400.3,12618.5,85.4174
139438,42645.1,2339.75,170.064
100020,90037,20053.9,1926.41
77121.4,262143,10349.8,-23.6811
101321,36996.6,1687.01,87.4275
112274,35294.2,2435.86,86.8493
262143,203175,17582.2,297.006
262143,172012,11247.2,338.861
262143,124983,5858.47,414.09
239770,262143,173014,49071.6
113802,38852,3167.49,98.7725
183489,106425,5813.31,120.884
122689,39556.9,670.645,116.451
229577,115923,3759.52,296.483
30499,48014.3,18942.4,1909.31
106889,69798.4,767.297,80.929
157881,60186.5,7976.56,87.6203
125600,64979.8,4228.74,73.1086
132215,49046.4,993.37,121.104
219429,84608,5140.6,158.085
233126,152975,7262.41,353.042
125693,44194.6,4570.19,116.616
198794,64544.9,3303.11,179.013
262143,262143,40865.1,1148.15
134895,67437.6,6824.58,89.6028
244982,138690,9664.67,390.133
117327,56146,2176.88,109.732
139404,78529.9,5208.48,157.617
81568.1,79027.3,21412.2,314.161
262143,175000,9013.3,453.329
213426,47905.3,3048.81,141.784
222666,84396.5,8909.76,171.991
174973,130244,5698.62,177.168
105186,41873.7,5967.93,51.0246
262143,174507,9557.69,409.216
186205,122768,5990.51,277.428
6551.6,13393.1,65.2609,38.9913
120774,36851.6,2194.36,67.8768
262143,112219,3161.3,333.629
199565,96677.7,3580.12,148.668
262143,112066,5754.38,218.059
209158,68443.1,2980.11,190.413
158311,80946.5,2922.56,233.92
196685,81408,6212.72,156.654
97852.5,19255.7,616.674,31.0609
62142.1,73514.4,41201.6,6321.82
12493.4,62651,133.138,38.5232
147401,52374.1,3023.89,138.287
103894,48823,3656.95,32.1073
262143,233834,8697.73,377.081
102088,50178.2,2417.96,159.435
126500,38284.1,4640.27,54.2189
48977.3,36221.2,50860.5,4774.78
131618,52190.5,2427.73,74.9812
114502,33549.3,2086.83,145.667
228194,89902.7,4230.8,225.356
165031,155082,27262.7,116.506
108530,54326.5,3787.33,71.5666
138061,84294.1,2927.38,119.232
74186.6,128545,111259,3383.21
155392,61495.2,3754.7,105.271
130133,68157.2,4729.21,175.599
262143,122945,6641.74,242.209
147777,60775.7,8177.99,55.0449
262143,141677,5746.54,482.738
148173,91734.1,23570.1,201.592
262143,237067,11508.9,687.442
200428,118600,2730.91,248.542
69055.4,67932.4,84723.3,4844.4
252221,177604,6959.09,327.158
155692,58121,2982.31,48.684
50512.9,262143,11000.9,687.277
123971,56032.9,4979.79,63.8015
230274,99973.4,4892.36,179.977
195293,121220,7099.53,226.21
133711,53750.6,3427.16,82.3058
262143,102498,4284.36,447.877
262143,262143,21742.7,1025.04
130583,62190.8,3319.22,97.7261
30983,241476,6856.52,448.483
21527.4,35622.7,1731.48,3326.82
27940,102617,103866,1337.85
139114,56759.1,1568.19,38.7159
50872.8,60537.6,6081.24,141.509
96047.6,33637,3782.1,190.385
170433,101653,44932.9,782.553
146026,41070.4,1746.76,141.591
55411,66363,14243.7,4328.83
154190,65934.8,3112.83,153.267
124722,37040.5,4631.46,115.735
114714,29600.5,2189.13,120.196
262143,231307,17496.4,596.16
152969,84227.6,6445.96,151.835
83253.3,125710,24279.9,4061.95
231830,99494.6,5780.13,253.196
262143,262143,12963.2,973.681
262143,219651,17921.3,616.619
144715,59832.7,3193.65,182.978
144900,66409.6,2062.33,231.139
17575.4,73579.6,310.746,71.2362
144077,90291,26289.9,108.08
128828,84123.8,2650.36,295.877
151887,52455.2,1484.2,173.671
158016,79200.2,2314.28,225.274
100378,35296.9,3028.85,48.8217
123798,55280.1,3383.79,23.9014
262143,177354,12856,516.717
119170,50212.8,4219.51,98.8551
63148.8,262143,3208.66,937.306
216762,126402,33577.4,157.342
206769,90184.6,2121.67,249.533
179382,99728.7,7205.13,127.796
96703.2,37178.8,9139,87.4
131182,55840.1,8124.57,17.3479
213365,63961,5638.18,129.888
262143,150339,11724.8,364.001
139017,69416.7,2415.89,246.587
136210,66522.6,3760.62,152.468
98342.6,25961.6,818.102,118.186
205226,77633.4,5820.06,199.72
47703.9,28513.9,37736.2,4693.77
119763,43800.9,3312.47,191.79
19494.6,71576.6,4248.15,969.578
37698.3,172538,5207.93,242.925
225081,73193.9,7941.72,156.654
233464,127441,6888.88,284.532
244218,153272,62244.7,7933.22
262143,246452,19100.9,577.297
159577,60488.4,668.167,181.133
262143,125716,5693.12,458.34
105002,29273.3,1058.36,96.3493
6226.88,57237.9,328.507,53.2275
214935,100932,8570.93,208.725
118148,36169.4,2751.56,68.6202
171286,157673,6263.39,301.687
262143,107923,6942.57,213.075
146569,63378.5,4218.28,124.546
123001,60479.1,3708.86,18.4493
182566,148839,7214.22,342.826
201571,68308.8,5672.88,235.132
262143,239481,12640,402.635
57214.1,262143,860.37,786.104
213316,124489,7640.34,217.894
127661,51941.8,22971.8,172.239
225327,97949.2,4950.74,234.609
95436.9,38395.8,2591.3,88.5289
262143,262143,12387.2,523.161
262143,262143,10395.8,766.664
42352.6,237805,22682.8,309.067
132324,68314.1,3835.25,124.436
136154,47429.1,3682.83,105.767
152830,81151.3,3600.64,209.523
86856,80604.7,86955.3,4842.3
112375,34876.6,3031.88,124.932
13749.1,13828,501.848,22.2217
137196,27884.8,753.254,48.4638
196949,152854,30262.7,14072.3
250280,108986,7379.71,230.698
125316,48380.1,1512.29,145.501
139815,41884.4,2376.38,162.932
122536,34409.8,2550.68,15.8884
227441,120624,11824.1,169.32
262143,140287,10092.9,191.349
262143,262143,11473,567.99
82160.3,104146,86586.9,7316.35
262143,262143,16051.6,879.92
262143,262143,22497.8,909.301
6650.16,10648,7073.65,32.8508
149443,76989.7,5264.51,76.0551
186344,92131.8,6436.73,337.181
7025.04,9276.75,2253.84,18.3941
99103.8,129787,97681.5,7425.12
210014,172856,87318.5,3617.57
262143,260266,13110,703
121099,37358.4,1772.78,94.1739
42853.4,262143,13446.8,248.019
9770.64,1004.15,-40.2029,16.329
139196,58469.5,4543.34,145.694
100045,33073.1,1443.17,65.2608
126872,50214.2,32111.7,211.478
216675,140827,42086.7,224.777
9687.92,56275,126.942,-32.5203
158360,60257,2887.86,88.7768
241653,187478,10700,503.61
249929,102669,2971.71,234.498
113599,41359,5355.25,33.2361
20170.5,39498.3,6950.97,89.1898
175028,71613.9,4113.64,186.723
126737,50087.8,1077.49,170.972
218604,137405,3840.2,420.671
262143,262143,68648.9,5070.82
128247,51467,1131.33,177.939
48744.1,31118,37763.3,2307.84
112754,36420.7,1917.49,17.045
22475.2,73034.3,5376.86,162.877
135546,46841.3,4264.95,70.1073
137984,94825,37936.8,453.356
262143,220920,7092.78,599.574
148855,111431,3949.25,181.436
218279,98990.6,8522.46,187.962
176760,72455.7,4659.54,167.365
8210.4,27475.1,3163.64,44.2231
182149,102137,5720.65,236.178
178434,56604.8,4058.7,71.071
142221,77999.2,10640.8,231.139
13260.7,53346.3,8335.08,279.603
23853.3,59433.7,1051.06,1233.32
121345,41307.1,4225.85,102.022
134670,48364.1,4175.04,117.965
148728,41355,7448.55,60.9926
215483,67310,2339.48,159.517
214518,62261.3,4530.54,220.538
137551,59151.8,2514.61,177.113
172232,65598.3,2994.43,220.125
114461,57118.2,4144.89,33.787
230999,91510.7,4904.89,174.387
227689,116931,4002.8,284.257
147655,53435.4,2287.85,157.122
104628,46998.2,3828.91,54.7696
116749,36628.2,1790.82,139.912
123606,53185.4,6832.15,106.978
262143,262143,119987,12397.7
115714,48181.9,5235.88,29.9318
182311,61020.4,3363.96,115.762
15503,46450.3,1488.2,67.2435
134802,50602.5,2199.73,133.881
262143,262143,43649.5,1593.99
106654,26711.7,1489.85,37.4217
133586,62252,4865.24,105.409
144663,64977.2,19744,-68.2902
128065,56679.3,5534.37,24.2043
130808,49521.2,2485.56,108.52
82031.8,81485.1,106004,4908.14
128661,41714.1,948.486,144.345
106729,42493.5,1217.1,64.9855
113325,26429.8,5583.11,82.113
127149,73022.3,2052.14,133.523
111629,31510.4,2174.67,105.161
188401,206638,100501,5673.92
101702,39683.2,3951.72,130.054
127612,39067.4,624.797,69.529
221760,99296.5,5409.49,142.472
124487,262143,55428.5,5485.33
127714,53630.9,2971.44,117.552
7160.56,12649.6,11569.1,165.575
187038,67913.8,4787.17,34.8608
262143,207229,4864,516.8
118298,34796.8,3382.83,126.639
115241,28653.5,1882.93,30.1246
15468.6,18827.5,12334.6,25.0031
143515,71790.7,2231.12,139.168
262143,100823,9031.33,246.366
262143,262143,7677.38,698.732
262143,186654,11901.4,818.652
110709,56425.3,5877.06,108.52
127768,37637.7,1851.12,55.5681
64679.1,63398.4,85184.6,4660.98
113490,36839.7,1353.54,123.665
36608,41836.5,29073.6,760.303
229605,83931,5349.46,224.062
6426.64,8664.95,122.399,26.2145
133563,50720.9,4964.78,54.274
140506,129151,30429.3,157.039
233533,218018,59692.9,201.042
119687,35965.9,327.957,45.4348
120638,40354.9,2783.78,211.946
120393,57146.1,4427.55,199.693
262143,262143,50752,3904.61
86343.8,16926.9,2357.65,4.37826
34405.4,93854.1,2837.33,607.367
31893,56251,24671.2,175.653
54079.5,262143,4664.22,918.554
200476,90600.9,7357.82,263.412
163690,72152.5,3495.31,185.484
7031.2,13744.2,10732.1,36.5129
19819.4,50481.5,6871.8,56.2566
154295,73594.2,3216.65,139.251
214287,100488,3047.99,136.745
105317,29047.2,443.884,123.059
139153,46833.3,4265.5,157.7
226777,101266,5935.57,321.375
193609,105538,9507.3,221.529
262143,150208,3108.01,400.955
28069.4,52149.3,30066.8,4633.38
262143,64370.7,2235.67,133.633
115579,32372.2,2812.14,127.823
207702,97107.3,10364.9,170.67
262143,193719,9837.59,482.958
105824,38202.9,2562.93,106.152
41467.4,45466.1,59630.3,1226.49
75132.6,79310.6,97640.2,5231.36
121735,29188.2,1248.63,82.1956
262143,172150,10734.2,521.261
115708,44383.4,2307.95,142.307
58036,55076.6,69089.4,3818.51
