FSC-A,SSC-A,Alexa_488-A,PI-A
126084,47217.7,2795.2,177.471
96961.9,25183.6,3486.36,88.7767
173765,68401.9,5323.03,102.71
126078,71052.6,3950.07,173.175
216455,99101,7587.33,136.167
127585,37446.2,5734.42,58.597
235292,76786.2,2340.17,272.333
74995.4,102814,50910.5,4022.3
117358,36209.3,2454.86,69.7493
107958,55579.4,3540.33,227.367
106398,25450.9,1525.64,78.4508
119178,69165.3,2252.88,134.432
107795,36741.3,1809.41,47.142
138481,52803.7,7048.86,134.377
230409,113335,4437.19,103.316
238579,119626,3591,239.4
135128,49668.9,2541.46,227.835
189210,137348,12274.3,255.646
142544,60259.6,4786.21,124.299
130845,37502,2639.9,28.1145
125931,44765.1,3650.62,161.941
147155,73312.3,10143.2,219.436
128718,36420.7,3153.17,15.8609
244406,117200,4972.77,200.519
103990,44511.1,2798.23,40.7812
66128.5,56346.8,13365,2488.94
151804,62313.2,4954.46,197.435
101330,90832.4,3594.99,199.472
124105,32450.7,2080.78,86.5463
120564,57896.2,3140.23,171.881
240909,127676,7289.39,295.987
65166.6,86697.4,53200.4,3533.67
138895,72865.4,1930.29,128.401
142489,48957.3,5254.74,80.7087
206103,135762,5798.17,285.633
127170,39560.9,3725.1,28.8855
142949,41300.5,1755.57,133.275
125979,62189.5,4871.44,189.752
130258,56306.9,2484.32,120.912
139162,51342,2225.62,87.8406
126178,47582.1,10883,-22.7725
74643.4,60769,36747.1,420.285
151290,70649.6,750.362,183.777
195548,161405,12647,438.817
148144,48725.9,5392.01,184.328
39243.6,78214.6,26780.6,1132.92
106502,31588.8,2297.9,96.5145
89571.7,54274.6,16629.3,10.5189
157201,72808.2,1860.35,69.7218
107100,38441,3555.34,63.9942
149490,60206.4,4150.54,70.4376
125687,87663,3709.68,63.3884
114243,31938.6,410.014,22.8551
126959,43252.9,831.181,107.088
227390,83782,3048.12,215.168
206789,130254,10207.4,282.742
111876,52851.5,1933.46,189.835
149277,67480.2,11625.5,159.683
212118,82055.7,5213.71,52.0984
160715,58885.8,1159.96,157.562
115333,69876.9,9786.65,48.0783
118747,52109.4,2235.8,118.957
145050,39293.5,1409.58,95.3029
214442,78720,5312.57,167.448
203380,60251.7,6349.58,91.503
158664,178952,168299,12812.1
141460,60122.7,2362.06,119.92
163233,72393.2,5133.99,24.6726
103213,38355.9,2130.48,68.3174
194987,91780.6,5938.46,186.062
134914,52758.4,1512.01,134.955
172067,181332,6730.82,269.112
113156,33872.4,1095.53,97.0102
137635,66202.1,4954.73,141.481
139124,59389.8,8205.94,147.952
100918,155371,68855.2,10097.3
159154,89059.5,43857.2,633.581
116750,46471.5,3020.04,123.638
216831,178892,33864.7,4399.44
117564,44040.3,1962.92,81.3971
112499,36747.9,1219.17,57.6333
116604,44209.2,549.348,79.2217
122043,32482.6,1535.01,77.9275
198302,124069,3556.86,168.549
119913,55705.7,1267.49,106.372
188962,68562.8,10719.3,164.556
233885,94511.1,4816.91,176.37
105538,49839.1,5101.36,84.9767
115698,44844.9,2764.91,107.97
119658,36847.7,3353.09,104.83
207442,73112.8,6509.01,146.355
72655.4,36705.3,29664.5,8071.23
114235,28709.4,1630.56,93.3203
201864,147348,38492.5,4459.25
123772,29220.1,655.775,78.9464
219938,81662,6575.93,235.325
180492,74473.4,5595.64,129.723
161242,57150.1,5608.3,96.1565
233316,178502,29110.9,81.2866
106636,46180.3,3891.7,171.743
244070,85367.4,3119.72,111.026
131945,37697.5,4856.84,69.6942
146172,48260.4,3019.49,89.2449
112422,148923,105939,6715.1
152258,50286,3787.06,167.42
178408,100740,2824.39,351.087
133326,66259.3,1984.26,266.991
189023,86712,7135.74,289.709
143185,63518.1,4052.09,-9.14204
108306,30883.9,4250.49,134.872
129569,56514.4,2878.64,127.823
114705,30241.5,2890.07,133.248
67430.9,63381.2,62271.5,3674.74
103573,77914.1,4081.56,175.02
232302,102054,4499.28,187.274
86667.7,109124,108537,5032.38
97885,33524,2893.37,47.0043
225878,127781,7382.88,318.732
144173,82329.7,20144,81.6727
106450,55129.8,4902.83,88.6392
128561,53501.9,3348.54,97.0653
126867,67470.9,29337.8,232.901
202734,146976,91650.1,5880.8
191585,76294.1,3572.14,82.2231
115407,41489.4,675.739,52.2087
132559,46367.8,1016.64,127.823
129053,74400.2,7509.68,61.4884
133683,52443.2,1574.52,134.983
128333,59193,6733.57,55.3753
85540.4,32041,1855.67,129.833
28413.4,108491,425.572,66.7754
141051,46917.1,4742.43,96.6246
115655,41219.4,1861.59,44.0304
110170,49386.9,1056.7,112.871
186117,101553,3378.97,524.29
107028,32255.2,2267.75,78.8362
203160,89133.9,5009.67,164.033
108054,59291.4,8469.87,102.104
95133.3,61321,2341.54,72.3652
119946,45275.9,2416.17,124.133
112199,39610.1,2524.93,73.8522
111104,102321,6470.74,223.209
112072,34391.1,2640.04,66.6377
139433,40346.9,1336.88,143.959
137868,68288.9,3918.27,65.6189
60387.4,40263.1,14824.3,743.919
122441,45955.5,2269.54,60.9376
110623,33575.9,687.855,50.7493
150887,46237.5,1841.07,76.2754
149784,54496.8,1862.41,62.3696
77014.1,13371.8,904.015,96.9551
222590,63943.7,3387.09,110.558
111220,33105,1797.43,100.425
101375,101623,6926.33,215.939
217966,108370,4664.78,274.646
175331,105989,13530.2,38.771
143447,41937.6,1486.68,55.7884
109582,55587.4,1631.25,126.336
218853,100516,11550.2,207.899
149686,42288.7,1305.08,89.6029
151231,52282.3,3726.07,72.4479
174016,111020,68946.9,4551.91
113927,61996.6,2621.72,76.8536
193470,59596,404.232,133.881
160018,100874,5897.44,317.052
137774,48789.7,4411.72,78.726
163927,42800.7,5323.72,162.326
67321.8,101551,91428.8,8572.14
133786,59750.3,3248.04,171.138
111745,60782.3,5142.12,63.1406
160685,63538.1,2186.1,137.186
150243,86814.4,26560.9,71.8149
98578.5,93838.2,5549.24,234.609
240665,97446.4,6065.68,310.388
223465,101544,2543.52,233.783
82591.5,32329.6,2611.26,8.5913
117856,124436,135088,10579.3
86049.9,161321,179254,6206.72
146710,48961.3,5501.33,115.239
219482,66021.2,6715.81,193.084
131453,42609.2,5657.59,82.0579
235456,120115,7704.64,213.323
147531,97645.9,4006.94,149.852
127230,68508.3,6157.1,154.285
121078,40860.3,1599.58,70.6029
130262,64132.6,35444.4,227.477
124604,45793.2,6813.29,122.701
221513,113944,6365.14,268.423
219871,85738.5,7663.61,144.813
135172,35533.6,1212.7,188.843
216319,112539,18830.5,89.3546
232620,142987,11241.1,346.241
111679,38067.3,1318.16,38.6058
42962.5,73338.9,5363.78,8725.87
34197.7,31600.8,30247.2,4159.76
133194,60828.9,4193.77,130.219
119874,38676.4,3686.55,-11.2072
101610,28162.8,260.63,53.6956
147364,32300.4,1356.57,80.0753
142038,84916.5,4503.96,87.2624
156379,171711,11884.9,305.569
186986,76653.2,6304.15,186.751
244763,94660.1,10345.6,350.123
120729,37522,2512.54,38.1652
143568,63814.7,6680.29,69.5014
117333,33526.6,1458.18,74.7884
140609,42232.8,6821.55,119.893
115026,61101.5,3672.51,115.928
204207,58792.7,3582.05,182.593
98831,53777.2,3851.77,132.119
130796,34654.5,4566.06,104.72
115401,52858.2,5634.6,152.386
121685,25647.7,2260.86,67.8768
174094,82949.4,5132.07,190.248
80478.6,107058,47011,1149.33
111984,39403.9,2992.91,35.7695
53367.6,71322.6,40597.1,490.503
115134,39044.8,3614.41,31.9421
152854,78213.3,7368.28,185.374
140645,37620.4,4219.79,96.1015
127705,29286.6,2031.9,30.0145
116776,42044,3738.32,69.6116
155206,78767.9,5775.17,103.261
117386,65275.1,36661.9,102.132
143506,46057.9,2643.48,138.617
112059,34936.4,6245.35,69.7494
146791,88342.6,3801.1,146.686
175842,68598.7,5079.75,154.836
126434,183231,45618.9,586.577
131167,36096.2,2751.7,93.8435
132180,170672,38544,2255.22
114314,36301,4078.53,45.7101
98954.2,38544.7,1503.48,87.3174
119917,37496.7,2650.22,111.054
206166,86621.6,10432.8,236.702
95524,55355.9,1717.43,142.252
126232,70162.8,4506.3,-15.9434
174257,76399.2,6834.08,273.903
112122,64015.6,2036.3,118.957
114704,75344.5,6336.5,235.6
102289,26252.9,1622.43,54.8522
129482,62318.5,6201.99,157.645
125642,54952.9,1461.49,134.845
96208.6,42093.2,2372.66,40.5058
139286,38592.6,2592.95,125.207
121903,39777.6,2113.41,159.242
123369,63528.8,10147.9,52.9246
163358,81675.3,5596.74,158.609
207736,142182,4617,286.9
111768,23114.1,3231.24,86.4087
110991,37456.8,1887.61,156.213
218574,148183,40657.3,7376.74
125988,114312,7451.72,202.226
174082,116008,11369,144.483
83773.4,101917,41521.8,726.736
119195,67397.8,4380.88,134.432
140553,43528.2,829.391,138.287
240701,171699,2041.26,401.891
188319,142850,63994.8,3985.26
144379,67986.9,4296.2,129.971
104093,56297.6,3797.25,118.736
216145,108978,8252.88,330.159
97517.2,38715,2085.59,-1.5421
239778,132596,10464,269.965
149073,82430.7,39787.9,96.6251
183349,67001.4,2730.36,121.049
141602,77765.1,13316.4,9.05974
160103,61605.6,1501.83,117.139
116744,31655.3,3278.05,3.9927
131881,40039.7,1079.7,82.4435
114226,69624.2,6666.66,179.206
62218.6,61814.4,27360.8,2340.14
122543,56415.9,3248.31,194.984
20547.1,41315.1,28044.6,3097.19
131399,49425.5,2360.96,91.0348
234360,126488,12680.6,156.075
115138,41974.8,1719.78,198.646
134717,52423.3,4885.48,49.3173
228450,78633.6,5288.06,239.62
154975,53083,4970.7,141.371
106121,37189.5,2228.51,112.128
95722.9,55305.4,2023.91,56.6696
139046,49581.1,2439.44,117.552
141383,57747.3,3919.23,162.381
107296,33976.2,1756.12,47.9681
20133.5,76915.2,243.145,295.051
177793,83486.8,3504.54,199.638
144756,73100.8,46203.3,514.211
86640.4,83008,62947.7,4334.61
60161.2,88127.1,39538.6,462.03
62385.8,55281.5,9691.79,65.7015
90710.4,115105,143673,5431.22
184157,149476,64327,756.117
141898,41609.1,2700.34,88.6942
125346,48993.2,3860.99,106.372
125816,25127.7,2326.95,98.6072
99852.7,59670.5,5645.48,189.917
142241,49327,2254.12,68.8406
143405,89058.1,13434.4,225.632
177551,163441,78890.2,3751.37
124929,45149.5,2664.96,110.035
212013,101802,3267.86,225.577
102847,24761.9,1304.67,93.7333
130622,50743.5,3973.62,123.941
109386,41864.4,3111.18,50.0883
102304,38405.1,3419.72,36.9536
117638,55697.7,2846.01,161.528
211491,125090,15822.5,231.635
239924,117555,3128.39,276.987
98521.3,24712.7,647.377,96.4319
112651,35573.5,3767.09,-18.6421
119036,37047.2,4738.44,56.7521
139748,72112.6,24688.7,-12.5017
120728,43125.3,3524.91,22.4696
24941.8,84730.3,2159.53,150.21
129616,74019.8,2234.01,176.755
114902,36767.9,1310.72,99.6536
121701,46841.3,2361.78,135.974
155235,71922.4,3194.07,152.248
168525,75137,1052.99,163.345
130399,37551.2,2175.5,43.6999
116203,35451.2,1063.31,153.184
186670,93334.1,10749.9,31.804
159459,66476.1,7418.26,270.791
92883.1,56998.5,3561.26,84.5913
130905,89830.9,15110.9,2173.3
146531,58559.9,2477.71,147.099
231529,116835,33199.5,332.389
125334,32940.1,1543.96,41.6348
101189,45470,3524.91,128.87
118236,34856.6,2337.83,56.3391
120864,65199.3,5342.03,59.0101
124466,64237.7,2706.4,14.8145
101182,36370.2,2099.5,85.5
212727,153819,7943.93,161.225
144002,46566,1326.83,84.8666
114781,43443.1,3071.8,44.8565
92188.8,60469.8,641.87,124.904
190856,115717,5811.38,286.459
25901,77455.2,33229.9,5654.01
205774,96456.9,6414.7,185.071
108656,24347,1903.99,98.7724
187748,171341,91020.1,8151.19
126568,53442.1,2860.33,31.6391
113147,50073.2,5696.42,172.597
99976.8,33708.9,2722.51,66.5275
218887,116612,7374.89,451.787
144030,48896.1,4551.33,119.039
119862,46121.7,8836.1,44.0853
172277,67481.5,3224.91,123.142
118416,54390.4,3371.95,142.307
131410,56901.4,3422.75,192.864
123492,43213,2950.23,156.681
214935,71910.4,9163.09,285.358
124035,34202.3,1315.54,104.665
120190,39517,3473.01,49.4275
90953.3,84218.3,6992.83,215.939
132183,46691,4226.12,59.3681
219707,65453.3,1688.38,219.959
214702,126472,4432.65,348.251
103880,44128.1,3747.54,216.765
199316,101786,1268.18,245.788
203079,59113.2,3355.7,78.671
182091,66331.1,5143.49,102.573
50694.2,102145,40748.3,5216.46
123105,43030.8,2291.01,98.8551
233296,93973.8,8771.94,233.48
131945,49226,2340.17,112.733
64520.7,53384.9,63037.6,3621.76
189827,86447.3,6334.57,175.075
117506,53234.6,4362.43,52.9246
210993,139588,8104.88,267.432
126695,44158.7,6180.23,42.6811
105205,43272.9,3775.08,87.703
103616,36837,416.761,61.7913
212603,89000.9,4837.7,154.671
118063,40130.1,2887.59,51.6305
116337,39281.6,6077.38,86.9594
125735,35322.1,1610.73,105.381
61865.8,61851.7,44038.3,3345.07
141981,59068,2529.07,152.248
207665,76862,4108.27,213.819
129623,59496.2,1414.12,169.568
160830,114734,5112.51,319.255
138099,53770.6,7145.24,61.7087
101544,35895.4,5946.72,63.5538
131216,52195.9,3411.74,103.509
84263.5,31787,3361.62,6.1681
72049.1,51197,16978.2,4142.58
77645,57297.7,40416,4296.01
143332,41086.4,2083.94,41.5797
217966,93657.3,3590.59,177.03
115697,51810.2,2295.56,106.62
129136,68167.8,5946.72,143.354
116934,74879,4262.06,72.4202
230475,94637.5,7908.82,246.312
115901,24765.9,862.986,81.6449
109396,41079.7,5425.19,118.516
117655,48173.9,10962,78.0375
81107,49582.4,903.464,102.462
238750,78262.5,14192,256.638
154539,58254,9405.41,69.9695
34531.2,115193,79.8551,26.0493
127565,59133.1,25159.7,52.1261
231006,118084,46447,404.754
105869,45814.5,4321.54,89.4377
244239,177478,8021.58,355.603
133910,81853.5,13032.6,106.868
197006,118882,7199.62,129.668
245056,87479.4,3324.59,203.63
128250,70822.5,27672,159.545
145792,41974.8,1527.43,113.752
147144,54135,2574.78,134.046
184364,95951.5,34578.6,120.168
141258,69061.6,1840.52,81.7826
220497,154892,8092.07,302.375
40422.8,32209.9,20467,1453.47
237936,166938,6087.57,317.575
132088,60791.6,3798.07,43.9753
155742,85892.7,5099.71,194.599
85714.6,79648.4,68847.6,2020.09
175065,63766.9,3741.62,103.068
125533,44007,3758.15,44.2507
58426.7,33570.5,12091.6,140.876
127785,39502.3,4543.2,107.171
141733,35960.5,3558.65,57.5507
77105.6,60783.7,50762.8,1389.92
69843.8,80084.6,129927,5037.59
130822,59157.1,5734.15,127.851
46042.5,55131.2,25956.1,201.648
211130,87620.4,8602.04,123.665
143850,45076.4,3694.12,139.168
161364,50501.4,3620.05,121.793
229286,98998.6,6748.44,132.78
51707,57059.7,35911,7651.16
163150,56797.7,2907.28,147.346
118869,38089.9,1270.38,90.7594
106679,30715,1560.34,170.394
136907,52379.4,1423.9,45.2145
119460,39199.1,1960.44,119.48
222410,75311.3,5427.25,151.064
139156,58992.2,2964.96,168.962
89166,94106.8,69351.2,3979.51
111610,41434.8,2551.78,58.0739
121774,36327.6,693.5,20.9
146293,55276.1,3582.05,76.1928
122950,67702.3,2926.14,131.623
206804,149178,4670.15,287.451
104212,27424.6,1115.91,26.242
192082,120735,5231.2,276.243
111117,47059.4,2284.96,106.235
117520,29021.9,1458.32,73.4116
112363,36709.3,4456.33,98.1391
134660,43499,2923.38,92.6593
130486,56102.1,6345.31,94.2841
130485,62661.6,851.42,104.197
118084,30480.9,2179.63,55.5956
124850,39487.7,3558.23,141.481
143341,50222.1,2793.55,100.893
93949.7,38547.4,1674.07,110.448
127413,45103,5067.22,54.026
130478,45631,3677.74,170.009
144681,45116.3,2086.83,79.1667
197570,89679.2,37108.4,571.432
137038,41909.6,3801.38,50.8318
124875,53314.4,3856.45,165.107
233319,59647.8,3736.8,191.156
115793,57124.8,6465.37,50.8043
218379,54084.5,4567.85,193.222
226274,85687.9,5399.72,200.326
29718.5,48070.2,21971.6,239.675
132344,50037.3,5532.17,205.833
159976,103643,2754.17,162.161
230142,115263,14828.7,101.361
143070,55459.7,3266.62,78.368
32640.1,34619.9,35861.7,7585.46
129667,59348.6,10491.9,58.3492
153145,56591.5,1057.39,132.587
160198,75018.7,3683.11,315.813
164231,100758,11549,153.79
237439,143115,8596.67,443.361
136698,39798.9,3013.98,157.617
139172,45325.1,3089.98,22.7174
145827,58813.9,2125.38,119.259
153501,65147.4,4788.83,177.939
106152,61774.5,4591.67,74.7333
138726,49126.2,1756.95,92.9072
131799,60802.3,5012.56,121.82
103250,29339.8,2906.04,159.738
228707,106530,7565.58,127.603
115812,49837.8,2893.23,88.2811
110781,63306.7,5986.24,187.109
114323,66748.7,3439.83,101.939
137152,44535.1,4235.07,36.3754
112610,70527.2,3341.66,139.306
245054,145143,9277.51,364.828
133709,51320.7,2546.41,85.1695
229154,92393.8,4681.85,170.422
178802,116778,9852.46,360.862
126736,35121.3,676.428,111.825
241304,137043,9205.78,297.446
229376,68518.9,3245.42,157.397
128145,40150,2633.43,79.5246
136220,39175.2,1246.84,113.394
124670,34814.1,2710.39,94.587
110450,32522.5,4627.46,22.6623
109461,33553.2,3463.09,95.358
220136,73878.8,9750.17,133.633
77075.7,51260.9,39765.2,3209.9
118158,36573.7,1784.62,108.768
208870,76957.8,4842.38,121.159
240123,104003,6206.25,234.664
154972,76937.8,24210.8,18.3116
55234.1,131919,14146.1,157.893
143765,42541.4,5006.36,77.3768
118222,67131.8,3456.07,245.375
146223,51274.2,1297.23,114.881
223978,55689.8,3982.01,119.755
26672.8,112058,4713.1,336.685
105206,36934.1,1374.2,76.7435
98817,96221.5,75546.1,484.748
143851,49856.4,2107.76,95.9913
131898,38193.6,1674.34,94.3942
231197,91558.5,7729.97,212.69
57633.8,110612,79017.1,5128.65
91791,38874.6,2738.75,103.564
156179,59355.2,1654.93,195.425
179604,68743.7,11286,176.7
123688,45722.7,4002.12,118.241
126618,87438.2,3522.85,136.222
123494,66920.3,8489.97,100.59
128279,58340.5,4271.97,159.49
122928,38100.5,4294.14,84.1231
119640,117795,25921.4,309.205
218323,89382.7,5726.44,125.152
124471,44911.4,6196.07,-9.25208
133536,64779,2722.65,118.351
218635,104231,13005.1,302.431
115802,51705.1,2804.43,111.825
112133,42074.6,2123.73,82.5812
241693,149187,15281.2,177.581
174080,83524,3908.91,199.142
183447,104124,25713.6,564.713
174389,151565,75378.2,17870.4
129355,60511,3685.31,174.084
176487,79186.9,3339.87,223.704
157245,75537.4,4401.53,140.71
125824,47737.7,7704.5,267.9
104047,52092.1,2321.99,15.1725
148217,97884,33194.4,1593.63
106802,33861.8,2372.94,117.552
111429,65317.6,2418.23,130.081
63202.5,80152.5,48564.8,3632.14
123304,42075.9,2935.91,100.37
109602,37261.3,3033.8,52.4566
102487,48051.6,4293.45,104.307
238111,82797.8,6720.49,172.872
77146.1,120940,51841.9,4856.07
140533,68698.5,4814.02,19.0826
85858.1,91687.5,82300.2,7224.38
134411,45105.6,1893.12,114.441
115233,37237.3,1139.31,71.484
228805,151621,4966.57,156.075
244263,126663,13880.9,202.832
106381,58425.6,8928.49,77.8447
104277,29253.4,2018.68,95.6884
128808,47668.5,5016,114
138391,77711.9,9114.22,162.326
238384,109097,4416.12,194.268
115924,29040.6,1045,57
114901,39437.2,2050.62,108.768
136747,40577,1456.12,82.1406
239171,106155,6719.94,191.68
143312,44190.6,5181.49,68.3725
126330,68807.6,4156.46,77.7348
115025,46843.9,2406.53,74.2101
102156,67018.7,1131.19,112.816
147103,106465,6902.09,205.558
117152,34517.5,4928.3,-6.47115
204610,112320,4110.88,214.259
164724,56360.1,3257.95,205.007
131461,35794.3,2475.92,125.097
95249.4,38853.3,2666.88,77.4594
58963.5,52872.8,48390.2,7505.94
170698,83551.9,13792.5,102.545
224374,137973,8760.38,375.732
220050,85129.3,2543.52,127.383
146487,56873.5,1953.01,140.628
122953,26683.8,2619.38,20.4594
101626,33619.7,1449.51,68.4275
102398,32424.1,3086.12,8.06802
35736.8,63015.4,34106.4,3565.83
189776,62686.9,2390.28,156.874
228430,109065,6608.56,228.22
91206.7,66489.4,5954.57,157.975
232896,164780,4049.34,324.294
231593,107405,4429.2,183.171
95131.5,95499.3,6221.26,270.791
108587,63671.1,3538.68,70.9884
129738,83323.2,3655.71,124.298
110585,37281.2,5316.15,118.351
238699,77108.1,5535.2,135.643
127146,48991.9,5306.65,53.7507
240264,176277,6076.01,513.028
138222,43487,2756.1,76.3855
109539,51267.5,5657.46,70.1347
124048,36883.6,1512.7,48.271
137745,52979.2,5766.36,84.9767
119564,49288.5,3873.52,34.2826
65021.4,44020.3,53014.8,4445.31
123095,59252.8,2770.28,147.374
95098.1,38518.1,1088.92,69.9971
139061,61039,3993.03,195.81
109631,35420.6,3299.53,55.2102
213794,134176,41473.7,169.844
52956.6,58293.9,78054.8,5961.26
228635,124781,6393.22,359.954
158597,71450.3,5466.91,153.542
137039,170945,4380.88,227.532
130992,48889.5,2862.53,102.71
114806,35002.9,1628.22,169.926
134032,81330.8,6290.79,227.201
147959,76157.1,4375.09,85.8579
166914,71181.6,4726.04,220.565
110327,156323,34729.5,3798.18
134387,61080.3,5393.66,154.506
145283,63653.8,18284.5,3.69
108432,43746.4,1095.8,147.457
50937.9,56603.5,38513.7,7705.22
145079,58771.4,4989.15,-3.22169
30568.6,40353.5,31231.2,863.288
224771,107878,8462.43,176.452
154941,147925,157128,16615.4
109359,45156.2,8107.08,192.203
205572,84171.7,3834.83,128.567
198148,92290,3716.7,152.771
131254,34114.5,1808.58,42.1029
223031,71125.7,3875.45,161.307
148425,43026.8,3092.87,140.104
19923.2,65785.8,1026.55,55.2927
113546,34998.9,3887.98,36.0174
160984,78644.2,4498.87,244.604
106530,42883.2,6045.99,188.072
223407,114816,4592.22,149.026
152977,71479.5,5105.91,92.742
187294,77630.8,4895.94,157.48
202818,144314,7869.44,374.08
137943,59597.3,4059.25,105.464
192709,95351.7,7548.78,242.374
201701,110542,8165.32,234.912
118750,42996.2,5065.43,85.2246
131189,78380.9,34407.9,71.8137
199974,92302,7013.48,102.517
116383,28395.5,2943.62,89.768
228095,107174,4472.02,114.083
140198,61386.2,2761.47,142.39
146392,80185.7,5348.36,155.277
71607.4,69738.6,89572.3,5497.97
112285,46273.4,2404.46,81.5623
101224,37959.5,5586.14,38.5231
108245,73318.9,4191.98,281.117
128077,49845.7,2473.58,201.703
160028,55304.1,2345.26,128.291
76637.4,64798.9,87384.2,6538.53
114712,40446.6,2494.51,125.428
185222,97435.8,9183.06,178.82
119899,31908,1891.6,89.6855
194214,59750.3,6735.5,76
222229,116811,11096.8,100.039
97081.6,60471.1,6034.29,105.601
122471,77767.8,2760.09,209.358
102053,111427,130243,7993.05
141101,41899,1943.65,74.6507
138837,57067.6,5151.89,138.287
220906,114831,9728.69,268.616
208290,84334,3984.49,214.672
200966,96531.4,7571.91,157.369
101932,40333.6,2514.33,100.067
240137,137628,6734.12,222.768
150444,64156.5,23818.6,323.248
120761,49104.9,4044.52,26.6826
119442,48271,5609.41,151.642
189569,61743.9,4473.4,113.614
175211,108310,8748.12,365.268
127281,49997.4,4284.22,116.754
100547,43786.3,4570.88,69.8318
131278,44503.1,29284.2,-29.5193
170882,93850.1,4130.02,182.483
75878.9,66146.2,74717.2,4078.25
127205,46172.3,3097.55,93.2928
71855.5,70834.5,77792.8,4977.04
60911.8,33501.4,88230.1,4942.2
27525.5,50403,97.0652,26.8478
118867,34433.7,1630.97,35.9898
226366,80207,4001.43,218.225
132722,66054.5,3274.33,107.667
114454,27315.5,2161.04,174.965
31323.6,29991.5,21492.2,525.033
134628,41005.2,6087.85,155.222
205036,118236,6747.2,224.971
169652,135056,10937.8,187.357
137726,52298.3,2381.06,102.82
162046,139795,62754.3,3276.54
109794,28726.7,3356.67,15.8334
137670,44726.6,7709.73,95.8812
116400,48312.3,8376.11,255.013
159549,90940.1,6573.31,181.684
137903,61231.9,11527.8,206.219
226019,183194,6356.05,465.693
126011,45786.6,9671.96,24.5623
19726.1,64382.6,6077.52,72.2827
71438.4,82668.8,66275.6,4651.5
96718.2,31434.6,2666.33,82.9666
59179.1,68021.5,43980.2,3899.49
114895,34835.4,1461.9,50.9145
56355.2,33082.4,28581.5,5282.03
130305,45149.5,3664.93,32.0521
144361,42405.7,2434.89,149.687
159289,62025.9,4672.49,264.045
43740.4,106075,6734.95,121.407
115812,32586.3,4566.47,-32.4101
60992.8,79675,77413,5542.38
113574,34400.4,1747.31,56.284
121626,44821,2049.66,91.8058
235394,110930,17116.2,141.536
151043,67619.9,4103.17,105.161
109092,29972.9,1968.7,50.171
118884,45096.3,1535.97,68.2899
209680,81330.8,5605.14,74.6233
56405.4,57949.4,30248.8,977.839
123966,111193,9108.71,177.499
115421,40366.8,1620.64,86.0507
141955,56213.8,2549.3,162.657
187129,85132,3987.66,156.406
105093,23805.7,2499.74,46.5087
197862,67901.8,5293.7,156.571
207283,62205.4,4639.3,117.056
139051,52916.7,5706.2,154.643
110214,30897.2,1682.74,116.809
200803,103184,14603.7,129.971
160782,52077.5,3522.3,75.229
123277,37903.7,3596.78,-17.9262
118285,34605.3,595.196,6.44348
55796.4,27367.4,31993,7223.69
135460,33501.4,2529.75,105.464
161076,90320.3,3647.45,220.207
138569,60038.9,4249.25,120.664
165257,116134,7056.44,151.752
150181,119397,11862.9,392.86
142701,62682.9,1350.24,183.309
134372,37556.5,1905.51,123.528
105868,55510.2,2428.7,145.144
92169.4,24656.9,1014.02,74.1826
118048,92455,1923.41,183.942
188185,100686,4260.27,143.519
214882,70036.5,1642.95,155.607
180319,74849.7,3539.09,159.958
97098.3,39145.9,3987.8,115.129
236236,116545,5328.4,208.614
126192,35335.4,1377.09,87.7304
105574,44414,2937.98,26.5174
223763,74917.6,3788.3,141.729
128403,44108.1,5477.23,116.781
107253,50699.6,5696.97,100.59
232710,98687.3,7506.38,200.932
116301,28105.6,2199.87,66.0044
233892,74823.1,2154.02,205.283
132897,89128.6,46315,501.517
155344,57593,8304.1,110.585
79559,72846.8,68032.8,8957.75
124807,61974,4721.22,109.154
166331,74630.3,6356.05,226.293
144992,75637.1,14497,-13.3002
154418,85072.1,1176.9,68.0145
120417,41646.3,6452.7,31.171
156020,77439.3,12737.4,26.3521
105917,31861.5,1312.79,25.8015
128766,65456,2562.93,159.352
115503,54548.6,3566.36,193.249
143544,59095.9,7563.24,18.0087
100905,34889.9,3523.95,5.50726
136420,31779,1471.54,140.738
149522,56385.4,3221.88,166.732
211394,151003,9868.16,416.706
62285.5,9215.57,3279.7,14.071
142895,61846.3,4115.98,136.717
105428,37430.2,2443.57,49.6478
137516,46172.3,3814.04,30.5653
117382,54165.6,2525.62,27.0681
180881,168585,12097.4,216.049
238915,115508,3648.69,207.816
75189,70684.2,50817.6,3821.15
189115,71027.3,5910.93,182.125
16893.4,49537.2,215.609,144.813
107999,54555.3,3549.97,64.4898
100644,41851.1,2639.62,17.5681
132588,54991.5,5444.46,58.7622
45936.9,42254.1,10862.5,3547.27
121446,61295.7,2100.19,118.516
127218,49227.3,3362.86,86.8768
23976.5,64579.5,16155.8,210.074
55235,63032.7,40936.9,3981.93
131105,52371.4,1622.02,45.6826
114053,40793.8,3790.09,44.0304
104852,30221.6,1833.36,73.5768
170828,84118.5,5517.71,137.599
190955,95867.7,5330.88,343.432
119111,63560.7,13468.8,67.6288
156384,61557.7,8436.96,111.962
124215,43472.4,4113.5,134.9
180203,126934,6702.32,341.312
136030,62603.1,3421.93,214.425
136596,99496,4929.4,168.715
188735,148002,4837.98,431.217
221120,73655.4,5153.41,229.542
222661,76936.5,5560.25,164.364
115555,46262.7,2953.95,172.707
35729.8,46382.4,38119.2,211.781
144676,75548,2306.43,184.052
218244,116343,4155.63,498.296
115608,62713.5,5021.09,102.958
